"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"JRC7414","NY","PAS",8828496976,"01/02/2021","07:07A","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,65,0,"106","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVOUVVVFZPYW1zelRtYzlQUT09&locationName=_____________________)"
"KNP5993","NY","PAS",2002829822,"08/06/2021","08:16A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"068","Kings","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFaM2xQVkdkNVRXYzlQUT09&locationName=_____________________)"
"GZJ4599","NY","PAS",8904082183,"10/13/2021","01:18P","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"120","R","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNUVRVFJOYWtVMFRYYzlQUT09&locationName=_____________________)"
"KDW5001","NY","PAS",8907853010,"04/05/2021","01:56P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,35,0,0,"108","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwNTZaekZOZWtGNFRVRTlQUT09&locationName=_____________________)"
"KLB3716","NY","PAS",8822173417,"06/22/2021","04:46P","NO PARKING-EXC. HNDICAP PERMIT",NA,180,0,0,0,0,180,"122","R","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMXFSVE5OZWxGNFRuYzlQUT09&locationName=_____________________)"
"HUG5451","NY","PAS",8703335460,"07/29/2021","08:56A","NO STANDING-DAY/TIME LIMITS",NA,115,0,0,0,0,115,"109","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwMTZUWHBPVkZFeVRVRTlQUT09&locationName=_____________________)"
"KNG6103","NY","PAS",2002076492,"06/10/2021","08:47A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"052","Bronx","DEPARTMENT OF SANITATION","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmQwMXFRVE5PYWxFMVRXYzlQUT09&locationName=_____________________)"
"HDU6699","NY","PAS",8825779021,"02/24/2021","10:59A","NO PARKING-STREET CLEANING",NA,65,0,0,0,0,65,"107","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVNVVZek5QVkVGNVRWRTlQUT09&locationName=_____________________)"
"KLV2374","NY","PAS",8890465463,"08/20/2021","06:39A","FIRE HYDRANT",NA,115,0,0,0,0,115,"044","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMUVVVEpPVkZFeVRYYzlQUT09&locationName=_____________________)"
"HCW1476","NY","PAS",8968385889,"07/21/2021","10:28P","FIRE HYDRANT",NA,115,0,0,0,0,115,"040","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOUVUVFJPVkdjMFQxRTlQUT09&locationName=_____________________)"
"JBX1355","NY","PAS",8982854230,"03/26/2021","02:31P","FAIL TO DSPLY MUNI METER RECPT",NA,35,0,0,0,0,35,"068","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMXFaekZPUkVsNlRVRTlQUT09&locationName=_____________________)"
"KES4494","NY","PAS",8986603731,"03/26/2021","08:24A","NO PARKING-STREET CLEANING",NA,65,0,0,65,0,0,"079","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNXFXWGROZW1ONlRWRTlQUT09&locationName=_____________________)"
"KFK6900","NY","PAS",8936651523,"04/21/2021","05:33P","NO STANDING-EXC. TRUCK LOADING",NA,95,0,0,0,0,95,"072","K","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNXFXVEZOVkZWNVRYYzlQUT09&locationName=_____________________)"
"HXR3908","NY","PAS",8837489894,"06/16/2021","01:00P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"103","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNTZVVFJQVkdjMVRrRTlQUT09&locationName=_____________________)"
"KED4492","NY","PAS",8731093905,"03/19/2021","06:04A","NO PARKING-DAY/TIME LIMITS",NA,60,0,0,0,60,0,"103","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrMVVRVFZOZW10M1RsRTlQUT09&locationName=_____________________)"
"JFZ9562","NY","PAS",8857384500,"09/30/2021","02:38P","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"105","Q","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZUVFJPUkZWM1RVRTlQUT09&locationName=_____________________)"
"HXU6499","NY","PAS",8878775551,"07/14/2021","08:11A","REG. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"114","Q","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOUVZek5PVkZVeFRWRTlQUT09&locationName=_____________________)"
"JHA4719","NY","PAS",8782527003,"10/01/2021","02:16P","INSP. STICKER-EXPIRED/MISSING",NA,65,0,0,0,0,65,"047","BX","TRAFFIC","HEARING PENDING","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMXFWWGxPZWtGM1RYYzlQUT09&locationName=_____________________)"
