plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,address,vehicle_body_type,vehicle_year,latitude,longitude
JKD3917,NY,PAS,8827647430,2021-08-18,11,16A,FIRE HYDRANT,NA,115,0,0,0,115,0,107,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVNTZXVEJPZWxGNlRVRTlQUT09&locationName=_____________________),Wednesday,2021,8,18,"141-55 76th Rd ,   , NY",4DSD,0,40.7220951,-73.8196835
KLK2181,NY,PAS,8958883560,2021-07-09,15,41P,FIRE HYDRANT,NA,115,0,0,0,115,0,046,Bronx,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOUVaelJOZWxVeVRVRTlQUT09&locationName=_____________________),Friday,2021,7,9,"N E 178th St ,  8ft E/of Creston Ave , NY",4DSD,2012,40.8457186,-73.8894056
JEC6609,NY,PAS,8944730027,2021-07-21,8,48A,FIRE HYDRANT,NA,115,0,0,0,115,0,019,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FNUVZM3BOUkVGNVRuYzlQUT09&locationName=_____________________),Wednesday,2021,7,21,"131 E 81st St ,   , NY",VAN,2018,40.7764795,-73.9581251
KHP2269,NY,PAS,8909572334,2021-07-02,24,37P,FIRE HYDRANT,NA,115,0,0,0,115,0,013,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwOVVWVE5OYWsxNlRrRTlQUT09&locationName=_____________________),Friday,2021,7,2,"311 W 24th St ,   , NY",SUBN,2008,40.7464289,-73.9987432
HHL1354,NY,PAS,8796048700,2021-07-24,24,04P,FIRE HYDRANT,NA,115,0,0,0,115,0,115,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VNXFRVEJQUkdOM1RVRTlQUT09&locationName=_____________________),Saturday,2021,7,24,"35-48 95th St ,   , NY",4DSD,2016,40.7516608,-73.8726192
KPY5822,NY,PAS,8623322836,2021-08-25,9,26A,FIRE HYDRANT,NA,115,0,0,0,115,0,112,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMTZUWGxOYW1kNlRtYzlQUT09&locationName=_____________________),Wednesday,2021,8,25,"6295 Saunders St ,   , NY",SUBN,2019,40.7303731,-73.8651388
KNP6177,NY,PAS,8713341959,2021-08-01,10,55A,FIRE HYDRANT,NA,115,0,0,0,115,0,110,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFMTZUVEJOVkdzeFQxRTlQUT09&locationName=_____________________),Sunday,2021,8,1,"55-34 97th St ,   , NY",SUBN,2017,40.737573,-73.864512
JMF3091,NY,PAS,8986224197,2021-07-27,5,16A,FIRE HYDRANT,NA,115,0,0,0,115,0,104,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNXFTWGxPUkVVMVRuYzlQUT09&locationName=_____________________),Tuesday,2021,7,27,"5441 Arnold Ave ,   , NY",SUBN,2019,40.7142993,-73.9100112
KFG2229,NY,PAS,8996640232,2021-07-09,22,23P,FIRE HYDRANT,NA,115,0,0,0,115,0,070,Brooklyn,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNXFXVEJOUkVsNlRXYzlQUT09&locationName=_____________________),Friday,2021,7,9,"W Ocean Ave ,  165ft S/of Avenue H , NY",4DSD,2004,40.6192476,-73.9551094
KGJ2535,NY,PAS,8515448312,2021-09-22,6,14A,FIRE HYDRANT,NA,115,0,0,0,0,115,062,Brooklyn,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFNVVVVEJQUkUxNFRXYzlQUT09&locationName=_____________________),Wednesday,2021,9,22,"6712 19th Ave ,   , NY",SUBN,2018,40.6165815,-73.9897291
KDV1199,NY,PAS,8574593539,2021-08-05,7,18A,FIRE HYDRANT,NA,115,0,0,0,0,115,042,Bronx,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wNUVWVFZOZWxWNlQxRTlQUT09&locationName=_____________________),Thursday,2021,8,5,"1270 Webster Ave ,   , NY",SUBN,2010,40.8335755,-73.9085036
KEK1652,NY,PAS,8731343570,2021-10-02,7,41A,FIRE HYDRANT,NA,115,0,0,0,115,0,103,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrMVVUVEJOZWxVelRVRTlQUT09&locationName=_____________________),Saturday,2021,10,2,"17019 89th Ave ,   , NY",SUBN,2021,40.7099897,-73.7904971
FCX5404,NY,PAS,8731336048,2021-08-21,7,34A,FIRE HYDRANT,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVrMVVUWHBPYWtFd1QwRTlQUT09&locationName=_____________________),Saturday,2021,8,21,"W 164th St ,  5ft N/of 107th Ave , NY",4DSD,2011,40.8364653,-73.9370344
KMS9358,NY,PAS,8743483630,2021-10-19,15,25P,FIRE HYDRANT,NA,115,0,0,0,0,115,114,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FMTZVVFJOZWxsNlRVRTlQUT09&locationName=_____________________),Tuesday,2021,10,19,"35-12 32nd St ,   , NY",4DSD,2021,40.7574971,-73.9281059
JGM7214,NY,PAS,8984175080,2021-08-01,11,27A,FIRE HYDRANT,NA,115,0,0,0,115,0,070,Brooklyn,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FNUVSVE5PVkVFMFRVRTlQUT09&locationName=_____________________),Sunday,2021,8,1,"2075 Bedford Ave ,   , NY",SUBN,2011,40.6541666,-73.9559099
BCV1778,NY,PAS,8836833093,2021-09-17,16,54P,FIRE HYDRANT,NA,115,0,0,0,115,0,108,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFaM3BOZWtFMVRYYzlQUT09&locationName=_____________________),Friday,2021,9,17,"43-18 39th Pl ,   , NY",SUBN,2020,40.7450588,-73.925216699999993
KRM9808,NY,PAS,8791742298,2021-10-21,14,24P,FIRE HYDRANT,NA,115,0,0,0,0,115,108,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VMVVZekJOYWtrMVQwRTlQUT09&locationName=_____________________),Thursday,2021,10,21,"50-27 Celtic Ave ,   , NY",SUBN,2014,40.7368571,-73.9224167
KHJ4270,NY,PAS,8821137788,2021-10-17,24,43P,FIRE HYDRANT,NA,115,0,0,0,0,115,052,Bronx,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVVMVVSWHBPZW1NMFQwRTlQUT09&locationName=_____________________),Sunday,2021,10,17,"W Putnam Pl ,  2ft N/of Reservoir O , NY",SUBN,2014,40.879593,-73.8753746
FCX5404,NY,PAS,8854482808,2021-07-30,7,54A,FIRE HYDRANT,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNUVVVFJOYW1kM1QwRTlQUT09&locationName=_____________________),Friday,2021,7,30,"107-04 164th Pl ,   , NY",4DSD,2011,40.6985732,-73.7908782
FCX5404,NY,PAS,8854483369,2021-08-03,7,44A,FIRE HYDRANT,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNUVVVFJOZWsweVQxRTlQUT09&locationName=_____________________),Tuesday,2021,8,3,"104-42 164th Pl ,   , NY",4DSD,2011,40.6991835,-73.7912442
KMS1954,NY,PAS,8955679695,2021-08-27,21,56P,FIRE HYDRANT,NA,115,0,0,0,115,0,034,Manhattan,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VNVVXVE5QVkZrMVRsRTlQUT09&locationName=_____________________),Friday,2021,8,27,"34 Bogardus Pl ,   , NY",SUBN,2018,40.85949,-73.9286614
FCX5404,NY,PAS,8878596565,2021-09-09,8,29A,FIRE HYDRANT,NA,115,0,0,0,0,115,103,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wOUVWVFZPYWxVeVRsRTlQUT09&locationName=_____________________),Thursday,2021,9,9,"107-04 164th St ,   , NY",4DSD,2011,40.6981973,-73.7916559
KPD6462,NY,PAS,8958543693,2021-08-30,6,51A,FIRE HYDRANT,NA,115,0,0,0,115,0,050,Bronx,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOUVWVEJOZWxrMVRYYzlQUT09&locationName=_____________________),Monday,2021,8,30,"225 W Kingsbridge Rd ,   , NY",SUBN,2007,40.8723094,-73.9040795
HLD7403,NY,PAS,8880341923,2021-08-05,22,34P,FIRE HYDRANT,NA,115,0,0,0,0,115,104,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMUVUVEJOVkd0NVRYYzlQUT09&locationName=_____________________),Thursday,2021,8,5,"59-76 60th Pl ,   , NY",4DSD,2006,40.716916,-73.9048515
JHM3521,NY,PAS,8853337783,2021-07-02,10,30A,FIRE HYDRANT,NA,115,0,0,0,115,0,109,Queens,TRAFFIC,ADMIN CLAIM DENIED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMTZUWHBPZW1NMFRYYzlQUT09&locationName=_____________________),Friday,2021,7,2,"144-29 Northern Blvd ,   , NY",2DSD,2006,40.7650336,-73.8224725
