plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,vehicle_body_type,vehicle_year,house_street,geo_nyc_address,google_address,new_url,coordinates,lat,long
KLB5092,NY,PAS,1457716240,2021-09-04,22,21P,FIRE HYDRANT,NA,115,0,0,0,0,115,046,Bronx,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VNTZZM2hPYWtrd1RVRTlQUT09&locationName=_____________________),Saturday,2021,9,4,SUBN,0,355 E 187 STREET,"184 MOUNT EDEN PARKWAY, 25FT E/OF STEINWAY S,BRONX","184 Mount Eden Pky,25ft E/of Steinway S,BRONX,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=184 MOUNT EDEN PARKWAY, 25FT E/OF STEINWAY S,BRONX&size=50",,40.842605,-73.910197
JKB9279,NY,PAS,1459949687,2021-09-17,8,22A,FIRE HYDRANT,NA,115,0,0,0,0,115,075,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VOVVhekJQVkZrMFRuYzlQUT09&locationName=_____________________),Friday,2021,9,17,SDN,2016,369 SHEFFIELD AVENUE,"1277 COLLEGE AVENUE, 60FT N/OF 97TH AVE,BROOKLYN","1277 College Ave,60ft N/of 97th Ave,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1277 COLLEGE AVENUE, 60FT N/OF 97TH AVE,BROOKLYN&size=50",,40.834836,-73.912327
KLA4649,NY,PAS,1467445435,2021-06-16,22,53P,FIRE HYDRANT,NA,115,0,0,0,0,115,032,Manhattan,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1rNTZVVEJPVkZGNlRsRTlQUT09&locationName=_____________________),Wednesday,2021,6,16,SUBN,2011,2850 8 AVE,"636 E 81ST STREET, W YORK AVENUE, MANHATTAN","636 E 81st St,W YORK AVE,MANHATTAN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=636 E 81ST STREET, W YORK AVENUE, MANHATTAN&size=50",,40.638416,-73.915523
GZR5301,NY,PAS,1471525971,2021-01-16,10,34A,FIRE HYDRANT,NA,115,0,0,115,0,0,100,Queens,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVWWGxPVkdzelRWRTlQUT09&locationName=_____________________),Saturday,2021,1,16,NA,NA,NA,"38-19 27TH STREET, 45FT W/OF BEDFORDAVENUE, QUEENS","38-19 27th St,45ft W/of Bedford Av,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=38-19 27TH STREET, 45FT W/OF BEDFORDAVENUE, QUEENS&size=50",,40.754785,-73.935372
JNF2623,NY,PAS,1471638431,2021-01-14,3,55A,FIRE HYDRANT,NA,115,0,0,0,0,115,107,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVXWHBQUkZGNlRWRTlQUT09&locationName=_____________________),Thursday,2021,1,14,NA,NA,NA,"1514 E 12TH STREET, VERLEY RD,QUEENS","1514 E 12th St,VERLEY RD,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=1514 E 12TH STREET, VERLEY RD,QUEENS&size=50",,40.612213,-73.962016
KHA2882,NY,PAS,1471829777,2021-03-25,1,00A,FIRE HYDRANT,NA,115,0,0,0,0,115,073,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVaM2xQVkdNelRuYzlQUT09&locationName=_____________________),Thursday,2021,3,25,NA,NA,NA,"2239 E 8TH STREET, 30FT N/OF MYRTLE AVENUE, BROOKLYN","2239 E 8th St,30ft N/of Myrtle Ave,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2239 E 8TH STREET, 30FT N/OF MYRTLE AVENUE, BROOKLYN&size=50",,40.595019,-73.962193
KDY7893,NY,PAS,1471885768,2021-06-04,5,36A,FIRE HYDRANT,NA,115,0,0,0,0,115,077,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVaelJPVkdNeVQwRTlQUT09&locationName=_____________________),Friday,2021,6,4,NA,NA,NA,"312 E 29TH STREET, 70' N/O WALLABOUT ST,BROOKLYN","312 E 29th St,70' N/O WALLABOUT ST,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=312 E 29TH STREET, 70' N/O WALLABOUT ST,BROOKLYN&size=50",,40.6428,-73.949937
KEN1594,NY,PAS,1471971521,2021-01-20,5,50A,FIRE HYDRANT,NA,115,0,0,0,0,115,081,Brooklyn,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMVVhek5OVkZWNVRWRTlQUT09&locationName=_____________________),Wednesday,2021,1,20,NA,NA,NA,"2022 NEWBOLD AVENUE, 60FT W/OF GREENWICH,BROOKLYN","2022 Newbold Ave,60ft W/of Greenwich,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2022 NEWBOLD AVENUE, 60FT W/OF GREENWICH,BROOKLYN&size=50",,40.832478,-73.856487
JJL4008,NY,PAS,1472166528,2021-07-15,0,40A,FIRE HYDRANT,NA,115,0,0,115,0,0,075,Brooklyn,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFSVEpPYWxWNVQwRTlQUT09&locationName=_____________________),Thursday,2021,7,15,SUBN,2019,84 ETNA,"57 1ST AVENUE, 45FT W/OF GREELEYAVENUE, BROOKLYN","57 1st Ave,45ft W/of Greeley Av,BROOKLYN,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=57 1ST AVENUE, 45FT W/OF GREELEYAVENUE, BROOKLYN&size=50",,40.725082,-73.987478
KNN9778,NY,PAS,1472321960,2021-07-27,2,10A,FIRE HYDRANT,NA,115,0,0,0,0,115,110,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFUWGxOVkdzeVRVRTlQUT09&locationName=_____________________),Tuesday,2021,7,27,SDN,2015,90-01 52 AVENUE,"2194 BATHGATE AVENUE, 30FT S/OF MAIDEN LN,QUEENS","2194 Bathgate Ave,30ft S/of Maiden Ln,QUEENS,New York, NY","https://geosearch.planninglabs.nyc/v1/autocomplete?text=2194 BATHGATE AVENUE, 30FT S/OF MAIDEN LN,QUEENS&size=50",,40.852935,-73.893074
