OBJECTID,the_geom,unitid,BORO,POINT_X,POINT_Y,CB,lat,long,borough,num_hits,address
218,POINT (-73.9873998996428 40.671458116609216),H305309,3,987745.26199999,183906.952,306,40.6714592,-73.98739624,Brooklyn,1,"267 7th St, Brooklyn, NY 11215, USA"
556,POINT (-73.94872201291987 40.69328510479532),H311230,3,998469.834,191863.066,303,40.6932869,-73.94872284,Brooklyn,5,"627 Marcy Ave, Brooklyn, NY 11206, USA"
811,POINT (-73.93668206268659 40.66467430233888),H316233,3,1001816.1515,181441.51375,309,40.66467285,-73.93668365,Brooklyn,1,"845 Montgomery St, Brooklyn, NY 11213, USA"
918,POINT (-73.91728117009411 40.75983072565151),H438306,4,1007165.758,216114.35899999,401,40.75983047,-73.9172821,Queens,1,"31-46 41st St, Long Island City, NY 11103, USA"
1245,POINT (-73.95281922395432 40.64919771385693),H314963,3,997342.29299999,175800.13899999,317,40.64919662,-73.95281982,Brooklyn,1,"55 Veronica Pl, Brooklyn, NY 11226, USA"
1429,POINT (-73.97345467661387 40.65453248044958),H310158,3,991615.52899999,177741.332,307,40.65453339,-73.97345734,Brooklyn,1,"700 Vanderbilt St, Brooklyn, NY 11218, USA"
1735,POINT (-73.869043207574 40.69079125817364),H330486,3,1020566.81,190977.46899999,305,40.69079208,-73.86904144,Brooklyn,7,"970 Jamaica Ave Floor 1, Brooklyn, NY 11208, USA"
1943,POINT (-73.87637218237074 40.87668714106735),H204746,2,1018438.76100001,258702.67599999,207,40.8766861,-73.87637329,Bronx,2,"3300 Reservoir Oval E, Bronx, NY 10467, USA"
2073,POINT (-73.91670103507458 40.70100872158417),H317560,3,1007346.853,194683.82799999,304,40.70100784,-73.91670227,Brooklyn,1,"1399 Greene Ave, Brooklyn, NY 11237, USA"
2107,POINT (-73.87866657097844 40.88370326862007),H205155,2,1017800.71699999,261258.04199999,207,40.883705139999996,-73.87866974,Bronx,1,"3573 Rochambeau Ave, Bronx, NY 10467, USA"
2275,POINT (-73.96652339471217 40.686889714289116),H305561,3,993534.246,189530.65,302,40.68688965,-73.96652222,Brooklyn,2,"371 Waverly Ave, Brooklyn, NY 11238, USA"
2293,POINT (-73.8971289199624 40.73154252323166),H435856,4,1012760.676,205813.98299999,405,40.73154068,-73.89712524,Queens,1,"68-01 53rd Ave, Queens, NY 11378, USA"
2604,POINT (-73.98720817266606 40.63941044478876),H309988,3,987800.15199999,172231.103,312,40.63941193,-73.98720551,Brooklyn,1,"4043 13th Ave, Brooklyn, NY 11218, USA"
2974,POINT (-73.97917646393246 40.6394542633778),H309916,3,990029.21099999,172247.495,312,40.63945389,-73.97917938,Brooklyn,1,"600-640 McDonald Ave, Brooklyn, NY 11218, USA"
3192,POINT (-73.93006470869058 40.698426834173404),H316850,3,1003642.171,193739.929,304,40.69842529,-73.93006134,Brooklyn,2,"157 Evergreen Ave, Brooklyn, NY 11221, USA"
3344,POINT (-73.92584811041186 40.705612285615985),H317499,3,1004809.164,196358.76399999,304,40.70561218,-73.92584991,Brooklyn,2,"15 Irving Ave, Brooklyn, NY 11237, USA"
3423,POINT (-73.97973708758155 40.676969568310795),H305129,3,989870.458,185915.32999999,306,40.67697144,-73.97973633,Brooklyn,1,"185 5th Ave, Brooklyn, NY 11217, USA"
3703,POINT (-74.00443491688999 40.65985054472894),H304170,3,983019.54199999,179677.766,307,40.65985107,-74.00443268,Brooklyn,1,"109 30th St, Brooklyn, NY 11232, USA"
4222,POINT (-73.85856368256228 40.847161286881324),H210714,2,1023380.993,247952.728,211,40.84716034,-73.85856628,Bronx,1,"925 Morris Park Ave, Bronx, NY 10462, USA"
4307,POINT (-73.89076534151134 40.68139578080777),H326869,3,1014547.12100001,187546.16699999,305,40.68139648,-73.89076233,Brooklyn,13,"11 Schenck Ct, Brooklyn, NY 11207, USA"
4379,POINT (-73.99629140098753 40.63487031329923),H309295,3,985279.32799999,170576.773,312,40.63486862,-73.99629211,Brooklyn,1,"5124 12th Ave, Brooklyn, NY 11219, USA"
4706,POINT (-73.89541381103867 40.662693629510485),H326588,3,1013265.96600001,180730.87199999,305,40.66269302,-73.89541626,Brooklyn,1,"553 Georgia Ave, Brooklyn, NY 11207, USA"
5523,POINT (-73.98783856840785 40.63613823343695),H309119,3,987625.362,171038.92299999,312,40.63613892,-73.98783875,Brooklyn,1,"1379 45th St, Brooklyn, NY 11219, USA"
6249,POINT (-73.96608139114524 40.593318051964744),H318259,3,993670.02949999,155440,315,40.59331894,-73.96607971,Brooklyn,1,"2330 E 5th St, Brooklyn, NY 11223, USA"
6503,POINT (-73.96577328308942 40.578549455787986),H322648,3,993757.701,150059.463,313,40.57854843,-73.96577454,Brooklyn,2,"3002 Brighton 2nd St, Brooklyn, NY 11235, USA"
6511,POINT (-73.94298269209642 40.706499113269246),H311712,3,1000058.264,196678.305,301,40.70650101,-73.94298553,Brooklyn,1,"146 Graham Ave, Brooklyn, NY 11206, USA"
6515,POINT (-73.99384256604336 40.69087780236117),H301973,3,985957.572,190981.913,302,40.69087601,-73.99384308,Brooklyn,1,"131 State St, Brooklyn, NY 11201, USA"
6817,POINT (-73.9968439061329 40.598322335579155),H313316,3,985126.459,157261.37999999,311,40.59832382,-73.99684143,Brooklyn,2,"2215 Bath Ave, Brooklyn, NY 11214, USA"
