plate,state,license_type,summons_number,issue_date,hour,min,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,borough,issuing_agency,violation_status,summons_image,weekday,year,month,day,address,latitude,longitude
KDT4891,NY,PAS,8976587558,2021-09-11,11,09A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,078,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNXFWVFJPZWxVeFQwRTlQUT09&locationName=_____________________),Saturday,2021,9,11,"346B 13th St ,   , NY",40.6651371,-73.9853824
KKF6734,NY,PAS,8834694727,2021-09-13,6,25A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,044,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNUVXVFZPUkdONVRuYzlQUT09&locationName=_____________________),Monday,2021,9,13,"350 E 169th St ,   , NY",40.8345337,-73.9111499
HUW1563,NY,PAS,1484009873,2021-06-29,11,15A,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,0,0,60,071,Brooklyn,OTHER/UNKNOWN AGENCIES,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5FNUVRWGRQVkdjelRYYzlQUT09&locationName=_____________________),Tuesday,2021,6,29,"541 CLARKSON AVENUE ,   , NY",40.6565034,-73.9418349
EEX1766,NY,PAS,8967125069,2021-07-24,24,54P,NO MATCH-PLATE/STICKER,NA,65,0,0,65,0,0,047,Bronx,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNTZSWGxPVkVFeVQxRTlQUT09&locationName=_____________________),Saturday,2021,7,24,"3994 Barnes Ave ,   , NY",40.8873837,-73.8570085
KEE8437,NY,PAS,8914728626,2021-08-14,8,09A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,013,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFNUVZM2xQUkZsNVRtYzlQUT09&locationName=_____________________),Saturday,2021,8,14,"290 3rd Ave ,   , NY",40.7385672,-73.9836966
HFT6327,NY,PAS,8992963324,2021-08-05,14,25P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,075,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFhekpOZWsxNVRrRTlQUT09&locationName=_____________________),Thursday,2021,8,5,"N Williams Ave ,  250ft E/of Pitkin Av , NY",40.6631895,-73.8975088
KKF1522,NY,PAS,8983464872,2021-07-16,9,04A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,067,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMTZVVEpPUkdjelRXYzlQUT09&locationName=_____________________),Friday,2021,7,16,"E E 56th St ,  80ft N/of Snyder Ave , NY",40.6349366,-73.9227784
JGU7365,NY,PAS,8883344819,2021-08-10,14,31P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,108,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMTZUVEJPUkdkNFQxRTlQUT09&locationName=_____________________),Tuesday,2021,8,10,"S Orchard St ,  40ft E/of Jackson Av , NY",40.748436,-73.938477
KFP5663,NY,PAS,8813699785,2021-09-04,7,44A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,104,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVFMTZXVFZQVkdNMFRsRTlQUT09&locationName=_____________________),Saturday,2021,9,4,"752 Seneca Ave ,   , NY",40.7022219,-73.9069195
KHS6891,NY,PAS,8966115706,2021-08-17,24,30P,FIRE HYDRANT,NA,115,0,0,0,0,115,042,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNXFSWGhPVkdOM1RtYzlQUT09&locationName=_____________________),Tuesday,2021,8,17,"E 3rd Ave ,  100ft S/of E 169th S , NY",40.7127753,-74.0059728
JBG9914,NY,PAS,8966525519,2021-08-06,17,04P,FAIL TO DSPLY MUNI METER RECPT,NA,35,0,0,0,0,35,044,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNXFWWGxPVkZWNFQxRTlQUT09&locationName=_____________________),Friday,2021,8,6,"246 E 167th St ,   , NY",40.8335443,-73.9152726
JCZ1087,NY,PAS,8969345735,2021-07-26,6,24A,NO STANDING-DAY/TIME LIMITS,NA,115,0,0,0,0,115,043,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVUVEJPVkdONlRsRTlQUT09&locationName=_____________________),Monday,2021,7,26,"N Blackrock Ave ,  5ft E/of Pugsley Ave , NY",40.8288608,-73.8517906
HBN1707,NY,PAS,8929769378,2021-07-14,14,52P,NO STANDING-EXC. TRUCK LOADING,NA,95,0,0,0,0,95,018,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVVOVVZekpQVkUwelQwRTlQUT09&locationName=_____________________),Wednesday,2021,7,14,"20 W 47th St ,   , NY",40.7569538,-73.9798128
616180,NY,PAS,4743941398,2021-08-10,13,28P,PHTO SCHOOL ZN SPEED VIOLATION,NA,50,25,0,25,50,0,000,Queens,DEPARTMENT OF TRANSPORTATION,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak1FMTZhekJOVkUwMVQwRTlQUT09&locationName=_____________________),Tuesday,2021,8,10,"0 SB LITTLE NECK PKWY ,  @ 82ND DR , NY",40.7385899,-73.7150381
KFZ5061,NY,PAS,8903580904,2021-08-17,19,26P,NO STANDING-BUS STOP,NA,115,0,0,115,0,0,108,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmQwMTZWVFJOUkd0M1RrRTlQUT09&locationName=_____________________),Tuesday,2021,8,17,"65-06 Roosevelt Ave ,   , NY",40.7458948,-73.8986577
KFP2153,NY,PAS,8895917674,2021-10-13,0,53A,FIRE HYDRANT,NA,115,0,0,0,0,115,075,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VNVVhM2hPZWxrelRrRTlQUT09&locationName=_____________________),Wednesday,2021,10,13,"180 Wortman Ave ,   , NY",40.6559953,-73.8861478
JPM2703,NY,PAS,8857234824,2021-10-20,17,32P,FAIL TO DSPLY MUNI METER RECPT,NA,65,0,0,65,0,0,006,Manhattan,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZTWHBPUkdkNVRrRTlQUT09&locationName=_____________________),Wednesday,2021,10,20,"W Hudson St ,  10ft N/of Clarkson S , NY",40.5907332,-73.6756532
KLC9087,NY,PAS,8881022382,2021-09-01,16,45P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,049,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMVVRWGxOYWswMFRXYzlQUT09&locationName=_____________________),Wednesday,2021,9,1,"1560 Silver St ,   , NY",40.8440256,-73.8463373
JHA4146,NY,PAS,8964824453,2021-07-31,13,53P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,040,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rNUVaM2xPUkZFeFRYYzlQUT09&locationName=_____________________),Saturday,2021,7,31,"292 E 150th St ,   , NY",40.8176428,-73.9215728
KNF5428,NY,PAS,8886409163,2021-09-28,24,27P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,030,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FNXFVWGRQVkVVeVRYYzlQUT09&locationName=_____________________),Tuesday,2021,9,28,"1724 Amsterdam Ave ,   , NY",40.8257067,-73.9478073
KGW8177,NY,PAS,8845222032,2021-07-06,9,44A,NO PARKING-STREET CLEANING,NA,65,0,0,0,65,0,114,Queens,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FNVVTWGxOYWtGNlRXYzlQUT09&locationName=_____________________),Tuesday,2021,7,6,"21-69 23rd St ,   , NY",40.780055,-73.915026
KJX4737,NY,PAS,8961842328,2021-09-03,16,04P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,044,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMVVaekJOYWsxNVQwRTlQUT09&locationName=_____________________),Friday,2021,9,3,"940 Morris Ave ,   , NY",40.827484,-73.9170709
LJG3519,NY,PAS,1472318705,2021-07-17,12,57A,OBSTRUCTING DRIVEWAY,NA,95,0,0,0,0,95,110,Queens,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk0wMXFUWGhQUkdOM1RsRTlQUT09&locationName=_____________________),Saturday,2021,7,17,"109-09 40 ROAD ,   , NY",40.758574,-73.8312012
KMX2693,NY,PAS,8888738642,2021-10-05,20,58P,NO PARKING-DAY/TIME LIMITS,NA,60,0,0,60,0,0,115,Queens,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FOUVZM3BQUkZrd1RXYzlQUT09&locationName=_____________________),Tuesday,2021,10,5,"74-23 37th Ave ,   , NY",40.7491552,-73.8910682
HUR4063,NY,PAS,8872876424,2021-08-17,14,58P,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,103,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk0wMXFaek5PYWxGNVRrRTlQUT09&locationName=_____________________),Tuesday,2021,8,17,"89-59 164th St ,   , NY",40.705965,-73.7958321
KNV8287,NY,PAS,8962388376,2021-08-19,11,36A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,052,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMXFUVFJQUkUwelRtYzlQUT09&locationName=_____________________),Thursday,2021,8,19,"75 W 205th St ,   , NY",40.8785082,-73.8908792
KHR3899,NY,PAS,8960674497,2021-07-17,8,22A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,052,Bronx,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rMUVXVE5PUkZFMVRuYzlQUT09&locationName=_____________________),Saturday,2021,7,17,"282 E 204th St ,   , NY",40.873373,-73.879291
KFW6181,NY,PAS,8989185701,2021-08-24,11,54A,FRONT OR BACK PLATE MISSING,NA,65,0,0,0,0,65,075,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FOVVSVFJPVkdOM1RWRTlQUT09&locationName=_____________________),Tuesday,2021,8,24,"346 Warwick St ,   , NY",40.6752797,-73.8865038
GTY3340,NY,PAS,8540977151,2021-07-01,10,05A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,114,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FMUVhek5PZWtVeFRWRTlQUT09&locationName=_____________________),Thursday,2021,7,1,"30-49 Crescent St ,   , NY",40.767052,-73.9253044
JFZ6742,NY,PAS,8974137562,2021-10-23,8,07A,INSP. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,070,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNUVSWHBPZWxVeVRXYzlQUT09&locationName=_____________________),Saturday,2021,10,23,"W E 17th St ,  55ft N/of Dorchester , NY",40.7356205,-73.9867469
KLM7634,NY,PAS,8882236237,2021-08-25,16,19P,FRONT OR BACK PLATE MISSING,NA,65,0,0,0,0,65,107,Queens,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5FMXFTWHBPYWtsNlRuYzlQUT09&locationName=_____________________),Wednesday,2021,8,25,"6747 161st St ,   , NY",40.7323057,-73.807667
JJM8168,NY,PAS,8991571906,2021-08-16,15,50P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,65,0,0,077,Brooklyn,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMVVWVE5OVkd0M1RtYzlQUT09&locationName=_____________________),Monday,2021,8,16,"575 Vanderbilt Ave ,   , NY",40.6805234,-73.9675411
KPB9355,NY,PAS,8983820445,2021-06-28,8,52A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,068,Brooklyn,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5FMTZaM2xOUkZFd1RsRTlQUT09&locationName=_____________________),Monday,2021,6,28,"249 Bay Ridge Ave ,   , NY",40.636265,-74.026989
HVJ7624,NY,PAS,8836729782,2021-10-05,13,15P,REG. STICKER-EXPIRED/MISSING,NA,65,0,0,0,0,65,019,Manhattan,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFZM2xQVkdNMFRXYzlQUT09&locationName=_____________________),Tuesday,2021,10,5,"1356 Madison Ave ,   , NY",40.7869266,-73.9547643
HJV6236,NY,PAS,8959419473,2021-08-26,9,40A,NO PARKING-STREET CLEANING,NA,65,0,0,0,0,65,049,Bronx,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1VOVVVWGhQVkZFelRYYzlQUT09&locationName=_____________________),Thursday,2021,8,26,"737 Van Nest Ave ,   , NY",40.8442006,-73.8641202
